,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,grade,year,room_total,month
101,2014-10-27,555000.0,3,2,1980,3478,1,7,2014,5,10
102,2014-12-12,699950.0,3,2,2190,107593,2,8,2014,5,12
103,2014-10-07,1088000.0,3,2,2920,8113,2,8,2014,5,10
104,2014-09-24,290000.0,3,1,1210,33919,1,7,2014,4,9
105,2015-04-02,375000.0,3,2,2340,10005,1,8,2015,5,4
106,2014-05-23,460000.0,3,1,1670,4005,1,7,2014,4,5
107,2014-07-23,188500.0,2,1,1240,2493,1,8,2014,3,7
108,2015-03-05,680000.0,4,2,3140,28037,2,10,2015,6,3
109,2014-08-27,470000.0,5,1,2030,12342,2,7,2014,6,8
110,2014-07-25,597750.0,4,2,2310,9624,2,8,2014,6,7
111,2015-03-04,570000.0,3,1,1260,3328,1,6,2015,4,3
112,2014-09-16,272500.0,3,1,1540,12600,1,7,2014,4,9
113,2014-11-24,329950.0,3,1,2080,5969,1,7,2014,4,11
114,2014-10-28,480000.0,4,2,3230,16171,2,9,2014,6,10
115,2014-11-21,740500.0,3,3,4380,6350,2,8,2014,6,11
116,2014-06-26,518500.0,3,3,1590,1102,3,8,2014,6,6
117,2014-06-23,205425.0,2,1,880,6780,1,6,2014,3,6
118,2015-01-08,171800.0,4,2,1570,9600,1,6,2015,6,1
119,2015-05-11,535000.0,4,1,1610,2982,1,7,2015,5,5
120,2015-01-02,660000.0,3,2,2400,6474,1,8,2015,5,1
121,2014-11-19,391500.0,3,2,1450,9132,1,7,2014,5,11
122,2015-04-06,395000.0,2,1,770,6000,1,6,2015,3,4
123,2014-11-04,445000.0,4,1,2100,4400,1,7,2014,5,11
124,2014-06-18,770000.0,3,2,2910,10204,2,9,2014,5,6
125,2015-03-02,1450000.0,4,2,2750,17789,1,8,2015,6,3
126,2014-07-17,445000.0,3,2,2100,8201,1,8,2014,5,7
127,2014-07-17,260000.0,4,2,2160,8811,1,8,2014,6,7
128,2014-06-13,822500.0,5,3,2320,4960,2,7,2014,8,6
129,2015-04-06,430000.0,4,2,2070,4310,2,7,2015,6,4
130,2015-01-05,212000.0,3,1,1060,7875,1,7,2015,4,1
131,2015-04-28,660500.0,4,2,2010,9603,1,8,2015,6,4
132,2014-06-12,784000.0,3,3,3950,111078,1,9,2014,6,6
133,2014-05-12,453246.0,3,2,2010,2287,2,8,2014,5,5
134,2015-01-26,675000.0,4,3,2140,2278,3,9,2015,7,1
135,2014-08-13,199000.0,3,1,1320,17390,1,7,2014,4,8
136,2014-08-05,220000.0,4,1,2020,7840,1,7,2014,5,8
137,2014-05-29,452000.0,4,2,2590,10002,1,8,2014,6,5
138,2014-07-07,382500.0,2,1,1190,4440,1,6,2014,3,7
139,2014-05-07,519950.0,3,2,1170,1249,3,8,2014,5,5
140,2014-06-27,665000.0,2,1,1110,3200,1,7,2014,3,6
141,2014-07-08,527700.0,5,2,2820,9375,1,8,2014,7,7
142,2015-05-08,205000.0,3,1,1610,8579,1,7,2015,4,5
143,2015-04-15,420000.0,3,1,1060,8097,1,7,2015,4,4
144,2015-02-27,500000.0,4,2,2030,8517,1,8,2015,6,2
145,2014-12-03,921500.0,4,2,3670,315374,2,9,2014,6,12
146,2014-06-25,890000.0,4,1,2550,4000,2,8,2014,5,6
147,2014-08-06,430000.0,2,2,2420,60984,2,7,2014,4,8
148,2014-10-30,258000.0,5,2,2260,12500,1,8,2014,7,10
149,2014-11-04,511000.0,3,1,1430,3455,1,7,2014,4,11
150,2014-08-20,532170.0,3,2,1360,3090,2,8,2014,5,8
151,2015-04-09,560000.0,3,1,1110,5000,1,7,2015,4,4
152,2015-03-31,282950.0,3,1,1250,8200,1,7,2015,4,3
153,2015-04-01,2250000.0,4,3,5180,19850,2,12,2015,7,4
154,2014-05-16,350000.0,1,1,700,5100,1,7,2014,2,5
155,2014-07-28,215000.0,3,1,1180,7669,1,7,2014,4,7
156,2014-11-20,650000.0,5,3,3960,25245,2,9,2014,8,11
157,2014-08-07,320000.0,4,2,2640,7500,1,8,2014,6,8
158,2014-11-13,247000.0,3,2,1270,7198,1,7,2014,5,11
159,2014-10-03,320000.0,4,1,1760,11180,1,8,2014,5,10
160,2014-05-07,255000.0,5,2,2060,8632,1,7,2014,7,5
161,2015-03-09,438000.0,3,1,1780,9660,1,7,2015,4,3
162,2015-03-04,900000.0,3,2,3400,16603,2,10,2015,5,3
163,2014-06-20,441000.0,3,2,1910,7280,1,7,2014,5,6
164,2014-08-12,420000.0,3,2,2020,38332,1,7,2014,5,8
165,2014-12-08,370000.0,3,1,1580,7000,1,7,2014,4,12
166,2015-02-19,269950.0,2,1,1340,7250,1,5,2015,3,2
167,2015-03-24,807100.0,4,2,2680,4499,2,9,2015,6,3
168,2014-06-05,653000.0,3,2,2680,9750,1,8,2014,5,6
169,2014-06-11,371500.0,3,2,1370,8336,1,7,2014,5,6
170,2015-03-16,284000.0,3,1,1560,21000,1,7,2015,4,3
171,2015-01-02,272000.0,3,1,2160,7140,1,7,2015,4,1
172,2014-05-02,313000.0,3,1,1340,7912,1,7,2014,4,5
173,2015-01-16,917500.0,4,2,3880,35003,2,10,2015,6,1
174,2014-09-29,673000.0,4,2,2590,8190,2,8,2014,6,9
175,2015-02-10,425000.0,3,2,1120,1100,2,8,2015,5,2
176,2014-07-09,399950.0,5,2,1970,5400,1,7,2014,7,7
177,2014-05-30,385000.0,3,1,1220,4800,1,6,2014,4,5
178,2014-11-17,269950.0,3,1,1950,7560,1,7,2014,4,11
179,2015-01-07,330000.0,2,1,1350,8220,1,7,2015,3,1
180,2014-07-25,260000.0,3,2,1670,5797,2,7,2014,5,7
181,2015-04-14,470000.0,4,3,2380,5125,1,7,2015,7,4
182,2014-06-13,589000.0,4,3,2440,9600,2,7,2014,7,6
183,2014-07-23,163500.0,2,1,1050,3419,2,7,2014,3,7
184,2014-09-05,835000.0,4,2,3130,13412,2,9,2014,6,9
185,2014-11-21,1095000.0,5,3,4090,12850,1,10,2014,8,11
186,2015-04-15,269000.0,4,1,1490,10000,1,8,2015,5,4
187,2014-05-05,560000.0,3,2,1900,8744,2,8,2014,5,5
188,2015-04-18,615000.0,4,1,1330,2400,1,6,2015,5,4
189,2014-12-05,585188.0,3,2,2230,10026,1,8,2014,5,12
190,2014-08-18,305000.0,3,1,1650,9480,1,7,2014,4,8
191,2014-11-05,166950.0,3,1,1190,8820,1,6,2014,4,11
192,2014-09-12,799000.0,3,2,2140,9897,1,8,2014,5,9
193,2014-06-25,400000.0,3,2,2180,7508,1,7,2014,5,6
194,2014-12-01,230000.0,3,1,1060,10228,1,7,2014,4,12
195,2014-05-15,256883.0,3,2,1690,5025,2,8,2014,5,5
196,2014-11-11,423000.0,4,2,1970,6480,1,7,2014,6,11
197,2014-07-23,465000.0,3,2,2150,4084,2,8,2014,5,7
198,2015-01-13,440000.0,3,2,1910,66211,2,7,2015,5,1
199,2014-10-14,385000.0,3,1,1350,155073,1,7,2014,4,10
200,2015-03-11,210000.0,3,1,860,11725,1,6,2015,4,3
201,2014-11-12,297000.0,3,2,1940,14952,2,8,2014,5,11
202,2014-07-16,470000.0,3,1,1010,5000,1,7,2014,4,7
203,2014-08-04,226500.0,3,1,1300,7370,1,7,2014,4,8
204,2015-03-03,274250.0,3,1,910,8450,1,6,2015,4,3
205,2014-08-04,840000.0,4,1,2480,11010,1,9,2014,5,8
206,2014-09-19,677900.0,3,2,2440,4587,2,8,2014,5,9
207,2015-02-05,425000.0,3,1,1010,5864,1,7,2015,4,2
208,2014-11-23,180250.0,2,0,900,9600,1,6,2014,2,11
209,2014-07-17,464000.0,6,3,2300,3404,2,7,2014,9,7
210,2015-04-22,320000.0,4,2,1550,7579,2,8,2015,6,4
211,2014-07-17,625504.0,3,2,1270,1566,2,8,2014,5,7
212,2014-05-15,592500.0,4,2,2240,12032,1,9,2014,6,5
213,2015-01-14,465000.0,3,2,2714,17936,2,9,2015,5,1
214,2014-05-27,477000.0,4,2,1720,6270,2,8,2014,6,5
215,2015-01-15,280000.0,2,1,850,16400,1,6,2015,3,1
216,2015-02-21,1505000.0,5,3,3300,33474,1,9,2015,8,2
217,2014-07-03,445838.0,3,2,2250,5692,2,8,2014,5,7
218,2014-08-28,1072000.0,2,2,3900,14864,1,8,2014,4,8
219,2014-10-23,467000.0,2,1,1320,10800,1,8,2014,3,10
220,2014-08-22,686000.0,4,2,2760,6440,2,10,2014,6,8
221,2014-06-05,279950.0,3,2,1750,9750,1,7,2014,5,6
222,2014-09-04,527000.0,4,2,2330,19436,2,8,2014,6,9
223,2014-09-18,325000.0,3,2,2220,16020,1,8,2014,5,9
224,2014-09-03,328000.0,3,2,2020,8379,2,7,2014,5,9
225,2014-06-04,390000.0,3,2,1250,7500,1,7,2014,5,6
226,2015-03-09,479950.0,2,2,1510,6516,1,8,2015,4,3
227,2014-05-29,264950.0,4,2,1720,9753,1,7,2014,6,5
228,2015-01-15,235000.0,3,1,1430,15246,1,7,2015,4,1
229,2015-03-03,516500.0,3,2,1480,4729,2,7,2015,5,3
230,2015-04-13,655000.0,2,1,1450,15798,2,7,2015,3,4
231,2014-06-16,500000.0,4,2,2280,15347,1,7,2014,6,6
232,2014-11-21,315000.0,6,2,2940,7350,1,8,2014,8,11
233,2014-11-20,213000.0,2,1,1000,10200,1,6,2014,3,11
234,2014-09-02,475000.0,3,1,2480,5280,1,7,2014,4,9
235,2014-06-10,1025000.0,5,4,3760,28040,2,10,2014,9,6
236,2015-04-09,416000.0,3,2,2220,94300,1,7,2015,5,4
237,2015-03-20,410000.0,4,1,1970,4740,1,7,2015,5,3
238,2014-07-01,800000.0,3,3,3830,221284,2,10,2014,6,7
239,2014-05-29,472000.0,6,2,4410,14034,1,9,2014,8,5
240,2014-12-08,225000.0,3,1,1430,8505,1,7,2014,4,12
241,2014-10-01,210000.0,2,1,830,6000,1,6,2014,3,10
242,2015-01-27,455000.0,2,1,1430,5000,1,7,2015,3,1
243,2015-04-27,225000.0,3,1,1300,8316,1,6,2015,4,4
244,2014-08-26,480000.0,2,1,1030,3060,1,7,2014,3,8
245,2015-02-12,363000.0,3,2,2740,11872,2,9,2015,5,2
246,2014-09-29,2400000.0,4,2,3650,8354,1,9,2014,6,9
247,2015-02-26,181000.0,2,1,720,5120,1,6,2015,3,2
248,2015-03-14,250000.0,4,2,2010,7312,1,7,2015,6,3
249,2015-04-22,481000.0,3,1,1560,3000,1,6,2015,4,4
250,2014-09-23,260000.0,3,2,1810,7209,1,7,2014,5,9
251,2014-05-13,455000.0,4,2,3360,7685,2,9,2014,6,5
252,2015-04-01,415000.0,3,2,1510,36224,2,8,2015,5,4
253,2015-04-21,349500.0,3,1,1400,3538,1,7,2015,4,4
254,2014-09-29,245000.0,3,2,1730,7442,2,7,2014,5,9
255,2014-05-19,592500.0,2,2,1420,9191,1,7,2014,4,5
256,2014-10-20,385000.0,4,1,2360,7620,1,7,2014,5,10
257,2015-02-11,315000.0,3,1,1580,11455,1,7,2015,4,2
258,2014-11-24,255000.0,3,1,1230,10170,1,7,2014,4,11
259,2014-08-29,693000.0,4,2,2460,4425,2,8,2014,6,8
260,2014-12-02,780000.0,3,1,1660,4400,1,8,2014,4,12
261,2014-10-24,237000.0,3,1,1270,8470,1,7,2014,4,10
262,2014-12-16,525000.0,3,2,2100,40510,2,10,2014,5,12
263,2015-04-28,425000.0,2,1,770,5040,1,5,2015,3,4
264,2014-10-27,369900.0,1,0,760,10079,1,5,2014,1,10
265,2014-05-19,290000.0,4,2,1700,7280,2,7,2014,6,5
266,2014-09-29,285000.0,3,1,1120,10701,1,7,2014,4,9
267,2014-08-14,415000.0,2,1,1070,4500,1,7,2014,3,8
268,2015-04-09,272500.0,3,2,2070,9900,1,8,2015,5,4
269,2015-05-04,2900000.0,4,3,5050,20100,1,11,2015,7,5
270,2014-10-07,1365000.0,4,4,5310,57346,2,11,2014,8,10
271,2015-05-01,436000.0,2,1,1040,7538,1,7,2015,3,5
272,2014-10-17,210000.0,3,1,1700,11390,1,7,2014,4,10
273,2014-09-25,236000.0,3,1,1300,5898,1,7,2014,4,9
274,2014-11-24,331000.0,3,1,1080,1306,1,7,2014,4,11
275,2015-03-20,365000.0,3,2,2653,4510,2,8,2015,5,3
276,2015-01-27,450000.0,3,2,2290,16258,1,8,2015,5,1
277,2014-11-13,770000.0,4,2,3820,26300,2,9,2014,6,11
278,2015-05-05,455000.0,4,2,2210,49375,1,8,2015,6,5
279,2015-05-05,405000.0,3,1,2390,6000,1,6,2015,4,5
280,2014-07-03,304900.0,4,1,2600,11325,1,7,2014,5,7
281,2015-02-27,170000.0,2,1,860,5265,1,6,2015,3,2
282,2015-05-13,2050000.0,5,3,3830,8480,2,9,2015,8,5
283,2014-06-30,780000.0,4,2,3500,7048,2,9,2014,6,6
284,2015-04-10,330000.0,3,3,2420,13959,1,8,2015,6,4
285,2014-09-05,370000.0,4,2,2720,8666,2,9,2014,6,9
286,2014-10-17,467000.0,5,2,2500,13500,1,7,2014,7,10
287,2015-02-09,405000.0,3,1,1670,6720,1,7,2015,4,2
288,2014-07-02,675000.0,5,2,2900,10300,1,8,2014,7,7
289,2014-08-12,500000.0,2,1,1640,14100,1,7,2014,3,8
290,2014-07-23,389999.0,4,2,1890,15770,2,7,2014,6,7
291,2015-02-24,630000.0,4,1,2950,9025,1,8,2015,5,2
292,2014-10-22,360000.0,4,2,2160,9528,2,9,2014,6,10
293,2014-10-02,580000.0,4,3,3280,11060,2,8,2014,7,10
294,2014-07-09,550000.0,3,2,1970,4166,2,8,2014,5,7
295,2014-07-10,879000.0,4,2,3360,22111,2,10,2014,6,7
296,2014-08-22,265000.0,3,2,1320,8959,1,7,2014,5,8
297,2015-03-04,446500.0,3,2,2650,7286,2,8,2015,5,3
298,2014-06-02,404000.0,3,1,2030,8880,1,7,2014,4,6
299,2014-05-29,267500.0,3,1,1590,11914,1,7,2014,4,5
300,2014-06-24,3075000.0,4,5,4550,18641,1,10,2014,9,6
301,2014-08-11,335000.0,3,2,2440,7632,2,8,2014,5,8
302,2014-06-19,576000.0,3,2,1940,9000,1,7,2014,5,6
303,2015-04-01,208633.0,3,2,2040,3810,2,8,2015,5,4
304,2015-01-15,315000.0,3,2,2200,8750,1,7,2015,5,1
305,2015-02-17,725000.0,3,1,1920,3300,1,8,2015,4,2
306,2015-04-03,550000.0,4,2,1800,7750,1,8,2015,6,4
307,2014-06-12,610750.0,4,2,2180,7297,2,8,2014,6,6
308,2015-02-28,550700.0,2,1,1010,5000,1,6,2015,3,2
309,2015-01-08,665000.0,4,2,3320,10574,2,8,2015,6,1
310,2015-02-09,834000.0,4,2,2370,4000,1,8,2015,6,2
311,2014-10-23,201000.0,5,1,1660,78408,1,6,2014,6,10
312,2014-05-02,2384000.0,5,2,3650,9050,2,10,2014,7,5
313,2014-06-18,1384000.0,4,3,4290,12103,1,11,2014,7,6
314,2014-12-09,1400000.0,4,3,4290,12103,1,11,2014,7,12
315,2014-11-05,305000.0,4,2,1950,7700,1,8,2014,6,11
316,2015-04-08,487000.0,3,2,2590,14052,1,8,2015,5,4
317,2015-05-11,390000.0,3,2,1930,64904,1,8,2015,5,5
318,2014-07-23,548000.0,2,1,1470,3864,1,7,2014,3,7
319,2014-11-22,268750.0,4,1,800,8775,1,6,2014,5,11
320,2014-05-13,819900.0,5,2,3150,7119,2,9,2014,7,5
321,2014-10-23,520000.0,3,2,2030,16200,2,8,2014,5,10
322,2014-07-21,230000.0,3,2,1450,11204,1,7,2014,5,7
323,2015-02-02,240000.0,3,1,1510,10248,1,7,2015,4,2
324,2014-09-05,232000.0,2,1,1240,12092,1,6,2014,3,9
325,2015-03-11,240500.0,2,1,1240,12092,1,6,2015,3,3
326,2014-10-27,274975.0,3,2,3030,45004,2,9,2014,5,10
327,2014-09-05,740000.0,4,2,2050,4400,1,9,2014,6,9
328,2015-04-28,186375.0,3,1,1000,7636,1,7,2015,4,4
329,2014-07-25,790000.0,3,2,2370,10289,1,9,2014,5,7
330,2014-09-16,880000.0,4,3,2800,6750,2,9,2014,7,9
331,2015-04-16,279000.0,6,1,2240,11180,2,7,2015,7,4
332,2014-07-29,295000.0,3,2,1810,10530,1,8,2014,5,7
333,2015-04-08,640000.0,2,1,1070,5000,1,7,2015,3,4
334,2014-07-03,940000.0,4,2,2490,9525,2,9,2014,6,7
335,2014-10-07,260000.0,4,2,1960,5238,2,7,2014,6,10
336,2014-06-02,559900.0,3,2,2930,5569,1,9,2014,5,6
337,2014-07-22,791500.0,4,2,1510,3500,1,7,2014,6,7
338,2014-08-26,265000.0,3,1,1420,8250,1,7,2014,4,8
339,2015-05-01,245000.0,3,1,1740,11547,1,7,2015,4,5
340,2015-04-24,485000.0,4,1,2560,43995,2,7,2015,5,4
341,2014-11-06,684000.0,4,3,3040,8414,2,9,2014,7,11
342,2014-09-09,425000.0,3,1,2500,6840,1,8,2014,4,9
343,2014-10-17,309600.0,4,1,1275,20000,1,6,2014,5,10
344,2014-07-18,552250.0,4,2,2580,5823,2,8,2014,6,7
345,2014-07-23,165000.0,4,1,1000,7134,1,6,2014,5,7
346,2014-12-29,239900.0,4,1,1000,7134,1,6,2014,5,12
347,2014-12-05,320000.0,2,1,1070,32633,1,6,2014,3,12
348,2014-10-21,206600.0,3,2,1390,13464,1,7,2014,5,10
349,2015-04-16,387000.0,4,1,2500,7690,1,7,2015,5,4
350,2014-06-04,299000.0,1,0,560,12120,1,4,2014,1,6
351,2014-09-22,855000.0,4,2,2270,10460,2,9,2014,6,9
352,2015-01-26,315000.0,3,1,1900,14400,1,7,2015,4,1
353,2014-12-03,437500.0,2,1,990,3120,1,7,2014,3,12
354,2015-03-24,252000.0,4,1,1550,19800,1,7,2015,5,3
355,2014-06-04,375000.0,4,1,2200,7475,1,7,2014,5,6
356,2014-08-06,300000.0,4,2,1910,4862,2,7,2014,6,8
357,2014-10-06,420000.0,4,1,1750,9600,1,7,2014,5,10
358,2014-05-05,900000.0,3,1,1330,77972,1,7,2014,4,5
359,2014-08-05,679900.0,3,2,2440,5750,2,9,2014,5,8
360,2014-06-05,463000.0,3,2,1640,29970,2,7,2014,5,6
361,2014-08-28,380000.0,5,2,2760,11340,2,9,2014,7,8
362,2014-12-10,329500.0,4,2,1820,7912,2,7,2014,6,12
363,2014-08-19,604950.0,3,2,2110,5608,1,8,2014,5,8
364,2014-09-17,795000.0,5,2,3040,9570,1,8,2014,7,9
365,2015-01-30,465000.0,3,2,1840,40438,2,7,2015,5,1
366,2015-03-26,673000.0,4,2,2990,10400,2,9,2015,6,3
367,2014-10-01,810000.0,4,2,3520,15420,2,10,2014,6,10
368,2015-04-23,785000.0,4,2,2440,69415,1,8,2015,6,4
369,2014-11-20,338000.0,4,3,2090,7500,1,7,2014,7,11
370,2014-12-04,280000.0,3,2,1430,7222,2,7,2014,5,12
371,2014-10-01,315000.0,4,2,2180,10754,1,7,2014,6,10
372,2015-03-24,530000.0,4,2,2180,10754,1,7,2015,6,3
373,2014-12-23,380000.0,5,3,3450,9914,2,9,2014,8,12
374,2014-08-11,297000.0,3,2,1450,7562,2,7,2014,5,8
375,2014-05-20,730000.0,4,2,3230,7331,2,10,2014,6,5
376,2014-06-09,450000.0,3,1,1640,13500,1,7,2014,4,6
377,2014-10-27,275000.0,3,3,1590,7750,1,7,2014,6,10
378,2015-04-29,595000.0,4,2,2020,2849,2,7,2015,6,4
379,2015-04-21,435000.0,3,1,1300,3348,1,7,2015,4,4
380,2014-09-16,270000.0,2,1,1380,209959,1,6,2014,3,9
381,2014-08-05,950000.0,3,3,4040,14338,2,10,2014,6,8
382,2015-03-13,389000.0,4,2,2130,5337,2,7,2015,6,3
383,2015-01-21,560000.0,4,2,2550,7800,1,8,2015,6,1
384,2014-07-28,1350000.0,5,3,4800,14984,2,11,2014,8,7
385,2014-11-11,799000.0,4,2,2510,11585,2,8,2014,6,11
386,2014-06-25,365500.0,3,2,1410,9600,1,7,2014,5,6
387,2014-05-15,252350.0,3,2,1650,7352,1,7,2014,5,5
388,2014-09-05,403950.0,4,2,2120,13780,2,8,2014,6,9
389,2014-08-01,385000.0,4,1,2040,10726,1,7,2014,5,8
390,2014-12-10,345000.0,4,1,1550,7620,1,7,2014,5,12
391,2014-09-17,490000.0,3,2,1980,3128,2,9,2014,5,9
392,2014-06-18,330000.0,3,2,1600,26977,2,8,2014,5,6
393,2014-05-12,927000.0,4,2,3300,12090,2,8,2014,6,5
394,2014-07-28,1118000.0,4,2,3840,16619,2,10,2014,6,7
395,2015-04-30,330000.0,2,1,1220,10000,1,7,2015,3,4
396,2015-03-09,530000.0,5,2,2720,8800,1,7,2015,7,3
